Vm,time
-74.7562,0
74.7193,0.1
-74.6487,0.2
-74.5451,0.3
-74.4106,0.4
-74.2473,0.5
-74.0561,0.6
-73.8376,0.7
-73.5914,0.8
-73.3168,0.9
-73.0128,1
-72.6781,1.1
-72.3113,1.2
-71.9104,1.3
-71.4736,1.4
-70.9992,1.5
-70.4858,1.6
-69.9314,1.7
-69.3341,1.8
-68.6929,1.9
-68.0067,2
-67.275,2.1
-66.4966,2.2
-65.6713,2.3
-64.7995,2.4
-63.8822,2.5
-62.9201,2.6
-61.9137,2.7
-60.8642,2.8
-59.7736,2.9
-58.6438,3
-57.4757,3.1
-56.2703,3.2
-55.0292,3.3
-53.7539,3.4
-52.4456,3.5
-51.1043,3.6
-49.7303,3.7
-48.3247,3.8
-46.8894,3.9
-45.425,4
-43.9323,4.1
-42.4133,4.2
-40.8713,4.3
-39.3105,4.4
-37.734,4.5
-36.1461,4.6
-34.5525,4.7
-32.9601,4.8
-31.3757,4.9
-29.8056,5
-28.2577,5.1
-26.7407,5.2
-25.2635,5.3
-23.8341,5.4
-22.4598,5.5
-21.1478,5.6
-19.9035,5.7
-18.7312,5.8
-17.6339,5.9
-16.6132,6
-15.6691,6.1
-14.8007,6.2
-14.008,6.3
-13.291,6.4
-12.6495,6.5
-12.0826,6.6
-11.5899,6.7
-11.1743,6.8
-10.8382,6.9
-10.5829,7
-10.4089,7.1
-10.3183,7.2
-10.3157,7.3
-10.403,7.4
-10.5777,7.5
-10.836,7.6
-11.176,7.7
-11.5931,7.8
-12.0765,7.9
-12.6123,8
-13.1855,8.1
-13.7827,8.2
-14.3845,8.3
-14.9673,8.4
-15.5053,8.5
-15.9718,8.6
-16.3299,8.7
-16.526,8.8
-16.4821,8.9
-16.0819,9
-15.1345,9.1
-13.6426,9.2
-13.394,9.3
13.978,9.4
-66.8843,9.5
-77.7341,9.6
-79.314,9.7
-79.5824,9.8
-79.6282,9.9
-79.6349,10
